"IVA 0% Importaciones bienes corrientes","IVA 0% Importacions béns corrents"
"IVA 0% Importaciones bienes de inversión","IVA 0% Importacions béns d'inversió"
"IVA 4% Importaciones bienes corrientes","IVA 4% Importacions béns corrents"
"IVA 4% Importaciones bienes de inversión","IVA 4% Importacions béns d'inversió"
"IVA 7% Importaciones bienes corrientes","IVA 7% Importacions béns corrents"
"IVA 7% Importaciones bienes de inversión","IVA 7% Importacions béns d'inversió"
"IVA 8% Importaciones bienes corrientes","IVA 8% Importacions béns corrents"
"IVA 8% Importaciones bienes de inversión","IVA 8% Importacions béns d'inversió"
"IVA 10% Importaciones bienes corrientes","IVA 10% Importacions béns corrents"
"IVA 10% Importaciones bienes de inversión","IVA 10% Importacions béns d'inversió"
"IVA 16% Importaciones bienes corrientes","IVA 16% Importacions béns corrents"
"IVA 16% Importaciones bienes de inversión","IVA 16% Importacions béns d'inversió"
"IVA 18% Importaciones bienes corrientes","IVA 18% Importacions béns corrents"
"IVA 18% Importaciones bienes de inversión","IVA 18% Importacions béns d'inversió"
"IVA 21% Importaciones bienes corrientes","IVA 21% Importacions béns corrents"
"IVA 21% Importaciones bienes de inversión","IVA 21% Importacions béns d'inversió"
"IVA 0% Exportaciones","IVA 0% Exportacions"
"IVA 16% Inversión del sujeto pasivo","IVA 16% Inversió del subjecte passiu"
"IVA 16% Inversión del sujeto pasivo (1)","IVA 16% Inversió del subjecte passiu (1)"
"IVA 16% Inversión del sujeto pasivo (2)","IVA 16% Inversió del subjecte passiu (2)"
"IVA 16% Inversión del sujeto pasivo (3)","IVA 16% Inversió del subjecte passiu (3)"
"IVA 18% Inversión del sujeto pasivo","IVA 18% Inversió del subjecte passiu"
"IVA 18% Inversión del sujeto pasivo (1)","IVA 18% Inversió del subjecte passiu (1)"
"IVA 18% Inversión del sujeto pasivo (2)","IVA 18% Inversió del subjecte passiu (2)"
"IVA 18% Inversión del sujeto pasivo (3)","IVA 18% Inversió del subjecte passiu (3)"
"IVA 21% Inversión del sujeto pasivo","IVA 21% Inversió del subjecte passiu"
"IVA 21% Inversión del sujeto pasivo (1)","IVA 21% Inversió del subjecte passiu (1)"
"IVA 21% Inversión del sujeto pasivo (2)","IVA 21% Inversió del subjecte passiu (2)"
"IVA 21% Inversión del sujeto pasivo (3)","IVA 21% Inversió del subjecte passiu (3)"
"IVA 0% Intracomunitario","IVA 0% Intracomunitari"
"IVA 4% Intracomunitario. Bienes corrientes","IVA 4% Intracomunitari. Béns corrents"
"IVA 4% Intracomunitario. Bienes corrientes (1)","IVA 4% Intracomunitari. Béns corrents (1)"
"IVA 4% Intracomunitario. Bienes corrientes (2)","IVA 4% Intracomunitari. Béns corrents (2)"
"IVA 4% Intracomunitario. Bienes de inversión","IVA 4% Intracomunitari. Béns d'inversió"
"IVA 4% Intracomunitario. Bienes de inversión (1)","IVA 4% Intracomunitari. Béns d'inversió (1)"
"IVA 4% Intracomunitario. Bienes de inversión (2)","IVA 4% Intracomunitari. Béns d'inversió (2)"
"IVA 7% Intracomunitario. Bienes corrientes","IVA 7% Intracomunitari. Béns corrents"
"IVA 7% Intracomunitario. Bienes corrientes (1)","IVA 7% Intracomunitari. Béns corrents (1)"
"IVA 7% Intracomunitario. Bienes corrientes (2)","IVA 7% Intracomunitari. Béns corrents (2)"
"IVA 7% Intracomunitario. Bienes de inversión","IVA 7% Intracomunitari. Béns d'inversió"
"IVA 7% Intracomunitario. Bienes de inversión (1)","IVA 7% Intracomunitari. Béns d'inversió (1)"
"IVA 7% Intracomunitario. Bienes de inversión (2)","IVA 7% Intracomunitari. Béns d'inversió (2)"
"IVA 8% Intracomunitario. Bienes corrientes","IVA 8% Intracomunitari. Béns corrents"
"IVA 8% Intracomunitario. Bienes corrientes (1)","IVA 8% Intracomunitari. Béns corrents (1)"
"IVA 8% Intracomunitario. Bienes corrientes (2)","IVA 8% Intracomunitari. Béns corrents (2)"
"IVA 8% Intracomunitario. Bienes de inversión","IVA 8% Intracomunitari. Béns d'inversió"
"IVA 8% Intracomunitario. Bienes de inversión (1)","IVA 8% Intracomunitari. Béns d'inversió (1)"
"IVA 8% Intracomunitario. Bienes de inversión (2)","IVA 8% Intracomunitari. Béns d'inversió (2)"
"IVA 10% Intracomunitario. Bienes corrientes","IVA 10% Intracomunitari. Béns corrents"
"IVA 10% Intracomunitario. Bienes corrientes (1)","IVA 10% Intracomunitari. Béns corrents (1)"
"IVA 10% Intracomunitario. Bienes corrientes (2)","IVA 10% Intracomunitari. Béns corrents (2)"
"IVA 10% Intracomunitario. Bienes de inversión","IVA 10% Intracomunitari. Béns d'inversió"
"IVA 10% Intracomunitario. Bienes de inversión (1)","IVA 10% Intracomunitari. Béns d'inversió (1)"
"IVA 10% Intracomunitario. Bienes de inversión (2)","IVA 10% Intracomunitari. Béns d'inversió (2)"
"IVA 16% Intracomunitario. Bienes corrientes","IVA 16% Intracomunitari. Béns corrents"
"IVA 16% Intracomunitario. Bienes corrientes (1)","IVA 16% Intracomunitari. Béns corrents (1)"
"IVA 16% Intracomunitario. Bienes corrientes (2)","IVA 16% Intracomunitari. Béns corrents (2)"
"IVA 16% Intracomunitario. Bienes de inversión","IVA 16% Intracomunitari. Béns d'inversió"
"IVA 16% Intracomunitario. Bienes de inversión (1)","IVA 16% Intracomunitari. Béns d'inversió (1)"
"IVA 16% Intracomunitario. Bienes de inversión (2)","IVA 16% Intracomunitari. Béns d'inversió (2)"
"IVA 18% Intracomunitario. Bienes corrientes","IVA 18% Intracomunitari. Béns corrents"
"IVA 18% Intracomunitario. Bienes corrientes (1)","IVA 18% Intracomunitari. Béns corrents (1)"
"IVA 18% Intracomunitario. Bienes corrientes (2)","IVA 18% Intracomunitari. Béns corrents (2)"
"IVA 18% Intracomunitario. Bienes de inversión","IVA 18% Intracomunitari. Béns d'inversió"
"IVA 18% Intracomunitario. Bienes de inversión (1)","IVA 18% Intracomunitari. Béns d'inversió (1)"
"IVA 18% Intracomunitario. Bienes de inversión (2)","IVA 18% Intracomunitari. Béns d'inversió (2)"
"IVA 21% Intracomunitario. Bienes corrientes","IVA 21% Intracomunitari. Béns corrents"
"IVA 21% Intracomunitario. Bienes corrientes (1)","IVA 21% Intracomunitari. Béns corrents (1)"
"IVA 21% Intracomunitario. Bienes corrientes (2)","IVA 21% Intracomunitari. Béns corrents (2)"
"IVA 21% Intracomunitario. Bienes de inversión","IVA 21% Intracomunitari. Béns d'inversió"
"IVA 21% Intracomunitario. Bienes de inversión (1)","IVA 21% Intracomunitari. Béns d'inversió (1)"
"IVA 21% Intracomunitario. Bienes de inversión (2)","IVA 21% Intracomunitari. Béns d'inversió (2)"
"IVA Soportado exento (operaciones corrientes)","IVA Suportat exempt (operacions corrents)"
"4% IVA Soportado (operaciones corrientes)","4% IVA Suportat (operacions corrents)"
"7% IVA Soportado (operaciones corrientes)","7% IVA Suportat (operacions corrents)"
"8% IVA Soportado (operaciones corrientes)","8% IVA Suportat (operacions corrents)"
"10% IVA Soportado (operaciones corrientes)","10% IVA Suportat (operacions corrents)"
"16% IVA Soportado (operaciones corrientes)","16% IVA Suportat (operacions corrents)"
"18% IVA Soportado (operaciones corrientes)","18% IVA Suportat (operacions corrents)"
"21% IVA Soportado (operaciones corrientes)","21% IVA Suportat (operacions corrents)"
"IVA Soportado exento (bienes de inversión)","IVA Suportat exempt (béns d'inversió)"
"4% IVA Soportado (bienes de inversión)","4% IVA Suportat (béns d'inversió)"
"7% IVA Soportado (bienes de inversión)","7% IVA Suportat (béns d'inversió)"
"8% IVA Soportado (bienes de inversión)","8% IVA Suportat (béns d'inversió)"
"10% IVA Soportado (bienes de inversión)","10% IVA Suportat (béns d'inversió)"
"16% IVA Soportado (bienes de inversión)","16% IVA Suportat (béns d'inversió)"
"18% IVA Soportado (bienes de inversión)","18% IVA Suportat (béns d'inversió)"
"21% IVA Soportado (bienes de inversión)","21% IVA Suportat (béns d'inversió)"
"IVA Exento","IVA exempt"
"IVA 4%","IVA 4%"
"IVA 7%","IVA 7%"
"IVA 8%","IVA 8%"
"IVA 10%","IVA 10%"
"IVA 16%","IVA 16%"
"IVA 18%","IVA 18%"
"IVA 21%","IVA 21%"
"Retenciones IRPF 1% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 1% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 1%","Retencions IRPF 1%"
"Retenciones IRPF 1% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 1% + 4% IVA Suportat (operacions corrents)"
"Retenciones IRPF 1% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 1% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 1% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 1% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 1% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 1% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 1% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 1% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 1% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 1% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 1% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 1% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 1% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 1% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 1% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 1% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 1% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 1% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 1% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 1% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 1% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 1% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 1% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 1% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 1% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 1% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 1% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 1% + 21% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 2% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 2% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 2%","Retencions IRPF 2%"
"Retenciones IRPF 2% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 2% + 4% IVA Suportat (operacions corrents)"
"Retenciones IRPF 2% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 2% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 2% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 2% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 2% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 2% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 2% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 2% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 2% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 2% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 2% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 2% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 2% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 2% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 2% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 2% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 2% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 2% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 2% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 2% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 2% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 2% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 2% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 2% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 2% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 2% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 2% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 2% + 21% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 7% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 7% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 7%","Retencions IRPF 7%"
"Retenciones IRPF 7% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 7% + 4% IVA Suportat (operacions corrents)"
"Retenciones IRPF 7% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 7% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 7% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 7% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 7% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 7% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 7% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 7% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 7% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 7% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 7% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 7% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 7% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 7% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 7% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 7% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 7% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 7% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 7% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 7% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 7% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 7% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 7% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 7% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 7% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 7% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 7% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 7% + 21% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 9% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 9% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 9%","Retencions IRPF 9%"
"Retenciones IRPF 9% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 9% + 4% IVA Suportat (operacions corrents)"
"Retenciones IRPF 9% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 9% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 9% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 9% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 9% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 9% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 9% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 9% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 9% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 9% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 9% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 9% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 9% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 9% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 9% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 9% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 9% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 9% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 9% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 9% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 9% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 9% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 9% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 9% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 9% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 9% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 9% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 9% + 21% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 15% + IVA Soportado exento (operaciones corrientes)","Retencions IRPF 15% + IVA Suportat exempt (operacions corrents)"
"Retenciones IRPF 15%","Retencions IRPF 15%"
"Retenciones IRPF 15% + 4% IVA Soportado (operaciones corrientes)","Retencions IRPF 15% + 4% IVA Suportat (operacions corrents)"
"Retenciones IRPF 15% + 7% IVA Soportado (operaciones corrientes)","Retencions IRPF 15% + 7% IVA Suportat (operacions corrents)"
"Retenciones IRPF 15% + 8% IVA Soportado (operaciones corrientes)","Retencions IRPF 15% + 8% IVA Suportat (operacions corrents)"
"Retenciones IRPF 15% + 10% IVA Soportado (operaciones corrientes)","Retencions IRPF 15% + 10% IVA Suportat (operacions corrents)"
"Retenciones IRPF 15% + 16% IVA Soportado (operaciones corrientes)","Retencions IRPF 15% + 16% IVA Suportat (operacions corrents)"
"Retenciones IRPF 15% + 18% IVA Soportado (operaciones corrientes)","Retencions IRPF 15% + 18% IVA Suportat (operacions corrents)"
"Retenciones IRPF 15% + 21% IVA Soportado (operaciones corrientes)","Retencions IRPF 15% + 21% IVA Suportat (operacions corrents)"
"Retenciones IRPF 15% + IVA Soportado exento (bienes de inversión)","Retencions IRPF 15% + IVA Suportat exempt (béns d'inversió)"
"Retenciones IRPF 15% + 4% IVA Soportado (bienes de inversión)","Retencions IRPF 15% + 4% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 15% + 7% IVA Soportado (bienes de inversión)","Retencions IRPF 15% + 7% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 15% + 8% IVA Soportado (bienes de inversión)","Retencions IRPF 15% + 8% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 15% + 10% IVA Soportado (bienes de inversión)","Retencions IRPF 15% + 10% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 15% + 16% IVA Soportado (bienes de inversión)","Retencions IRPF 15% + 16% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 15% + 18% IVA Soportado (bienes de inversión)","Retencions IRPF 15% + 18% IVA Suportat (béns d'inversió)"
"Retenciones IRPF 15% + 21% IVA Soportado (bienes de inversión)","Retencions IRPF 15% + 21% IVA Suportat (béns d'inversió)"
